#ffffff
#fbfbff
#f7f7ff
#f3f2ff
#efeeff
#eaeaff
#e6e6ff
#e2e2ff
#dedeff
#d9daff
#d5d6ff
#d1d2ff
#ccceff
#c8caff
#c3c6ff
#bfc2ff
#babeff
#b6baff
#b1b6ff
#acb2ff
#b3e5ff
#abe7ff
#a3e9ff
#9aebff
#90edff
#86eeff
#7cf0ff
#72f2ff
#68f4fe
#5ff6fb
#56f7f7
#4ff9f2
#49faec
#46fbe5
#45fcde
#48fdd7
#4dfece
#54fec5
#5dffbc
#66ffb2
#77fba6
#85f79b
#92f391
#9eef87
#a8ea7e
#b2e676
#bbe16f
#c4dc69
#ccd864
#d3d35f
#dacd5c
#e1c85a
#e7c359
#ecbe59
#f1b85a
#f5b35c
#f9ad5f
#fca862
#ffa366
#ff9f67
#ff9b69
#ff976c
#ff936e
#ff8f71
#ff8b74
#ff8778
#ff837c
#ff8080
#ff7c84
#ff7889
#ff758e
#ff7293
#ff6f98
#ff6d9e
#ff6aa3
#ff68a9
#ff67af
#ff66b5
#ff3fa2
#fc37a5
#f82fa9
#f426ad
#f01cb1
#eb11b6
#e602ba
#e000bf
#d900c4
#d200c9
#ca00ce
#c100d4
#b700d9
#ac00de
#9f01e4
#910de9
#8117ef
#6d1ff4
#5326fa
#272cff
#563fff
#9728f2
#c300e3
#e400d0
#ff00bc
#ff00a7
#ff0092
#ff007d
#ff0068
#ff2153
#ff4c3e
#ff6926
#ff8200
#ff9800
#ffad00
#ffc000
#fad100
#e9e200
#d5f100
#bfff27
#d4ff3f
#daf62e
#e0ed1b
#e5e400
#eadb00
#efd100
#f3c800
#f6be00
#fab400
#fcaa00
#ff9f00
#ff9500
#ff8a00
#ff7f00
#ff7300
#ff6700
#ff5a08
#ff4b16
#ff3b1f
#ff2727
#ff1616
#ff0023
#ff002f
#ff0039
#ff0044
#ff004f
#ff005a
#ff0066
#ff0072
#fb007f
#f4008c
#ec0099
#e200a7
#d500b4
#c700c2
#b500cf
#a000dc
#8500e8
#6000f4
#0012ff
#1647ff
#005cff
#006eff
#007dff
#008aff
#0096ff
#00a1ff
#00abff
#00b5ff
#00beff
#00c6ff
#00ceff
#00d5ee
#00dcda
#00e3c5
#00eab0
#00f09a
#00f685
#00fb6f
#00ff5a
#16ff37
#50f708
#6def00
#82e600
#93de00
#a2d500
#afcb00
#bbc200
#c5b800
#cfad00
#d8a300
#e09800
#e78c00
#ed8000
#f27300
#f76500
#fa5500
#fe2d00
#ff0000
#2a396b
#1e3060
#000000
